policy,model,factor,vif,model_max_abs_factor_correlation,model_condition_number
baseline_equal_weight,A_fundamental,size,5.350782261911344,0.8630240918090966,5.485135623315339
baseline_equal_weight,A_fundamental,value,2.6612479954463217,0.8630240918090966,5.485135623315339
baseline_equal_weight,A_fundamental,quality,4.483180294494288,0.8630240918090966,5.485135623315339
baseline_equal_weight,A_fundamental,leverage,2.9420092928120454,0.8630240918090966,5.485135623315339
baseline_equal_weight,B_technical,beta,12.789391364715073,0.9601063408723168,7.0265681751257745
baseline_equal_weight,B_technical,momentum,1.3220844188118641,0.9601063408723168,7.0265681751257745
baseline_equal_weight,B_technical,low_volatility,12.793369058492159,0.9601063408723168,7.0265681751257745
baseline_equal_weight,B_technical,reversal,1.3200890420303484,0.9601063408723168,7.0265681751257745
baseline_equal_weight,C_combined,size,7.820587782364394,0.9601063408723168,13.399562222969648
baseline_equal_weight,C_combined,value,2.8460217423456626,0.9601063408723168,13.399562222969648
baseline_equal_weight,C_combined,quality,5.961300910354624,0.9601063408723168,13.399562222969648
baseline_equal_weight,C_combined,leverage,3.548828600856731,0.9601063408723168,13.399562222969648
baseline_equal_weight,C_combined,beta,13.80812735575871,0.9601063408723168,13.399562222969648
baseline_equal_weight,C_combined,momentum,1.4088168061461888,0.9601063408723168,13.399562222969648
baseline_equal_weight,C_combined,low_volatility,25.86736903434411,0.9601063408723168,13.399562222969648
baseline_equal_weight,C_combined,reversal,1.3468285876292239,0.9601063408723168,13.399562222969648
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,size,5.350782261911344,0.8630240918090966,5.485135623315339
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,value,2.6612479954463217,0.8630240918090966,5.485135623315339
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,quality,4.483180294494288,0.8630240918090966,5.485135623315339
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,leverage,2.9420092928120454,0.8630240918090966,5.485135623315339
turnover_buffer_inverse_volatility_risk_scaled,B_technical,beta,12.789391364715073,0.9601063408723168,7.0265681751257745
turnover_buffer_inverse_volatility_risk_scaled,B_technical,momentum,1.3220844188118641,0.9601063408723168,7.0265681751257745
turnover_buffer_inverse_volatility_risk_scaled,B_technical,low_volatility,12.793369058492159,0.9601063408723168,7.0265681751257745
turnover_buffer_inverse_volatility_risk_scaled,B_technical,reversal,1.3200890420303484,0.9601063408723168,7.0265681751257745
turnover_buffer_inverse_volatility_risk_scaled,C_combined,size,7.820587782364394,0.9601063408723168,13.399562222969648
turnover_buffer_inverse_volatility_risk_scaled,C_combined,value,2.8460217423456626,0.9601063408723168,13.399562222969648
turnover_buffer_inverse_volatility_risk_scaled,C_combined,quality,5.961300910354624,0.9601063408723168,13.399562222969648
turnover_buffer_inverse_volatility_risk_scaled,C_combined,leverage,3.548828600856731,0.9601063408723168,13.399562222969648
turnover_buffer_inverse_volatility_risk_scaled,C_combined,beta,13.80812735575871,0.9601063408723168,13.399562222969648
turnover_buffer_inverse_volatility_risk_scaled,C_combined,momentum,1.4088168061461888,0.9601063408723168,13.399562222969648
turnover_buffer_inverse_volatility_risk_scaled,C_combined,low_volatility,25.86736903434411,0.9601063408723168,13.399562222969648
turnover_buffer_inverse_volatility_risk_scaled,C_combined,reversal,1.3468285876292239,0.9601063408723168,13.399562222969648
